year,data from source,predicted data
0,1961,10696000.0,11918576.028930664
13,1974,13481000.0,11809826.634643555
14,1975,14278000.0,11845970.776245117
15,1976,14048000.0,11886356.942260742
16,1977,13362000.0,11930561.837524414
25,1986,10955800.0,12430405.12097168
26,1987,10666600.0,12489516.110961914
27,1988,10756200.0,12547789.58972168
28,1989,10984400.0,12604802.263061523
29,1990,11220400.0,12660130.836547852
30,1991,11288800.0,12713352.01574707
43,2004,14555000.0,13020855.411987305
44,2005,14925000.0,13000127.137329102
45,2006,14655000.0,12970942.049682617
