Species,year,count,Country
BeefCattle,2020,17440393,Indonesia
BeefCattle,2021,17977214,Indonesia
BeefCattle,2022,18610148,Indonesia
Broiler,2020,2919516243,Indonesia
Broiler,2021,2889207954,Indonesia
Broiler,2022,3168325176,Indonesia
Cattle,2022,18610148,INDONESIA
Cattle,2021,17977214,INDONESIA
Cattle,2020,17440393,INDONESIA
Cattle,2019,16930025,INDONESIA
Cattle,2018,16432945,INDONESIA
Cattle,2017,15948878,INDONESIA
Cattle,2016,16004097,INDONESIA
Cattle,2015,15419717,INDONESIA
Cattle,2014,14726875,INDONESIA
Cattle,2013,12686239,INDONESIA
Cattle,2012,15980696,INDONESIA
Cattle,2011,14824373,INDONESIA
Cattle,2010,13581570,INDONESIA
Cattle,2009,12759838,INDONESIA
Cattle,2008,12256604,INDONESIA
Cattle,2007,11514871,INDONESIA
Cattle,2007,11514871,INDONESIA
Cattle,2005,10569312,INDONESIA
Cattle,2004,10532889,INDONESIA
Cattle,2003,10504128,INDONESIA
Cattle,2002,11297625,INDONESIA
Cattle,2001,11137701,INDONESIA
DairyCattle,2020,568000,Indonesia
DairyCattle,2021,582169,Indonesia
DairyCattle,2022,592897,Indonesia
Goats,2020,18689711,Indonesia
Goats,2021,18904347,Indonesia
Goats,2022,19397960,Indonesia
Sheep,2020,17523689,Indonesia
Sheep,2021,17523689,Indonesia
Sheep,2022,15615300,Indonesia
Layer,2020,345181214,Indonesia
Layer,2021,386125709,Indonesia
Layer,2022,378590549,Indonesia
NativeChicken,2020,305444937,Indonesia
NativeChicken,2021,306391596,Indonesia
NativeChicken,2022,314101311,Indonesia
Pig,2020,7622724,Indonesia
Pig,2021,7178088,Indonesia
Pig,2022,7280310,Indonesia
